formula,tag,tau,tau_pred,tau_prob,t,t_pred,A,B,A1,A2,B1,B2,X1,X2,nA,nB,nX,rA,rB,rX
LaSrAlTiO6,double_AB,3.03944918612,1,0.907449375071,1.00502486666,-1,nan,nan,La,Sr,Al,Ti,O,O,2.5,3.5,-2.0,1.4,0.57,1.4
LaSrAlMnO6,double_AB,3.1786802651,1,0.884690026995,1.02452728969,-1,nan,nan,La,Sr,Al,Mn,O,O,2.5,3.5,-2.0,1.4,0.5325,1.4
LaSrAl2O6,double_A,nan,nan,nan,nan,nan,nan,nan,La,Sr,Al,Al,O,O,nan,nan,nan,nan,nan,nan
LaTiO3,single,1.69107315071,1,0.988183782462,0.942809041582,1,La,Ti,La,La,Ti,Ti,O,O,3,3,-2,1.36,0.67,1.4
La2TiMnO6,double_B,1.66720278756,1,0.988588278546,0.948536921543,-1,nan,nan,La,La,Ti,Mn,O,O,3.0,3.0,-2.0,1.36,0.6575,1.4
La2TiAlO6,double_B,1.64124033731,1,0.989011889077,0.974589121635,-1,nan,nan,La,La,Ti,Al,O,O,3.0,3.0,-2.0,1.36,0.6025,1.4
La2MnTiO6,double_B,1.66720278756,1,0.988588278546,0.948536921543,-1,nan,nan,La,La,Mn,Ti,O,O,3.0,3.0,-2.0,1.36,0.6575,1.4
LaMnO3,single,1.64999177299,1,0.988870958955,0.954334824486,1,La,Mn,La,La,Mn,Mn,O,O,3,3,-2,1.36,0.645,1.4
La2MnAlO6,double_B,1.65345830345,1,0.988814615725,0.9807109126,-1,nan,nan,La,La,Mn,Al,O,O,3.0,3.0,-2.0,1.36,0.59,1.4
La2AlTiO6,double_B,1.64124033731,1,0.989011889077,0.974589121635,-1,nan,nan,La,La,Al,Ti,O,O,3.0,3.0,-2.0,1.36,0.6025,1.4
La2AlMnO6,double_B,1.65345830345,1,0.988814615725,0.9807109126,-1,nan,nan,La,La,Al,Mn,O,O,3.0,3.0,-2.0,1.36,0.59,1.4
LaAlO3,single,1.79087069205,1,0.986323753342,1.00858641658,1,La,Al,La,La,Al,Al,O,O,3,3,-2,1.36,0.535,1.4
