A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
Ba2ILiO6,3.62810735248151,0.7698027882760613,1,1.0407781962696858,1,Ba,I,Li,O,1.61,0.53,0.76,1.4,2,7,1,-2,1.0
Ba2CuTeO6,3.62810735248151,0.7698027882760613,1,1.0407781962696858,1,Ba,Cu,Te,O,1.61,0.73,0.56,1.4,2,2,6,-2,-1.0
Ba2LiReO6,3.62810735248151,0.7698027882760613,1,1.0407781962696858,1,Ba,Li,Re,O,1.61,0.76,0.53,1.4,2,1,7,-2,1.0
Rb2LiVF6,3.6331979406941706,0.768076128469489,1,1.0624018140980145,-1,Rb,Li,V,F,1.72,0.76,0.64,1.33,1,1,3,-1,1.0
Pb2NiUO6,3.634009839470865,0.7677998113936891,1,0.9685017050374988,1,Pb,Ni,U,O,1.49,0.69,0.73,1.4,2,2,6,-2,1.0
Ba2FeTaO6,3.6346269394066937,0.7675896196304545,1,1.0420520985907014,1,Ba,Fe,Ta,O,1.61,0.645,0.64,1.4,2,3,5,-2,1.0
Ba2FeNbO6,3.6346269394066937,0.7675896196304545,1,1.0420520985907014,1,Ba,Fe,Nb,O,1.61,0.645,0.64,1.4,2,3,5,-2,1.0
Ba2NbTiO6,3.6346269394066937,0.7675896196304545,1,1.0420520985907014,1,Ba,Nb,Ti,O,1.61,0.68,0.605,1.4,2,4,4,-2,1.0
Ba2TaTiO6,3.6346269394066937,0.7675896196304545,1,1.0420520985907014,1,Ba,Ta,Ti,O,1.61,0.68,0.605,1.4,2,4,4,-2,1.0
Ba2UYbO6,3.63510622978882,0.7674262653309051,1,0.9355566643391242,1,Ba,U,Yb,O,1.61,0.73,1.02,1.4,2,6,2,-2,1.0
Ba2HgUO6,3.63510622978882,0.7674262653309051,1,0.9355566643391242,1,Ba,Hg,U,O,1.61,1.02,0.73,1.4,2,2,6,-2,1.0
Ba2CePuO6,3.63510622978882,0.7674262653309051,1,0.9355566643391242,1,Ba,Ce,Pu,O,1.61,1.01,0.74,1.4,2,3,5,-2,1.0
Pb2InNbO6,3.635358294804355,0.7673403193561421,1,0.9639333007684536,1,Pb,In,Nb,O,1.49,0.8,0.64,1.4,2,3,5,-2,1.0
Pb2MnTeO6,3.636811577101671,0.7668443156326478,1,0.9754360847871706,1,Pb,Mn,Te,O,1.49,0.83,0.56,1.4,2,2,6,-2,1.0
Pb2NiTeO6,3.636995790754991,0.7667813850792052,1,0.9616652224137044,1,Pb,Ni,Te,O,1.49,0.48,0.97,1.4,2,4,4,-2,1.0
Pb2MgUO6,3.636995790754991,0.7667813850792052,1,0.9616652224137044,1,Pb,Mg,U,O,1.49,0.72,0.73,1.4,2,2,6,-2,1.0
Pb2NbScO6,3.637843137101467,0.7664917471213205,1,0.9766014803484456,1,Pb,Nb,Sc,O,1.49,0.64,0.745,1.4,2,5,3,-2,1.0
Pb2ScTaO6,3.637843137101467,0.7664917471213205,1,0.9766014803484456,1,Pb,Sc,Ta,O,1.49,0.745,0.64,1.4,2,3,5,-2,1.0
Pb2FeWO6,3.6390365492250787,0.7660833445065783,1,0.9777696639373792,1,Pb,Fe,W,O,1.49,0.78,0.6,1.4,2,2,6,-2,1.0
Pb2CrHgO6,3.639275540069807,0.7660014919225512,1,0.9594077923141421,1,Pb,Cr,Hg,O,1.49,0.44,1.02,1.4,2,6,2,-2,-1.0
Ba2MgTeO6,3.641303722705136,0.7653059611654166,1,1.043329123221327,1,Ba,Mg,Te,O,1.61,0.72,0.56,1.4,2,2,6,-2,1.0
