A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
Sr2TeZnO6,3.724155730652064,0.7355366676460634,1,0.9796015895462414,1,Sr,Te,Zn,O,1.44,0.56,0.74,1.4,2,6,2,-2,1.0
Sr2ErIrO6,3.7250991184796387,0.7351826165073628,1,0.9428090415820632,1,Sr,Er,Ir,O,1.44,0.89,0.57,1.4,2,3,5,-2,1.0
Sr2LuSbO6,3.725666436932952,0.7349695420892272,1,0.9425877768457148,1,Sr,Lu,Sb,O,1.44,0.861,0.6,1.4,2,3,5,-2,1.0
Sr2RuYO6,3.728005996918705,0.7340895682086673,1,0.9417037554840774,1,Sr,Ru,Y,O,1.44,0.565,0.9,1.4,2,5,3,-2,1.0
Pb2CoNbO6,3.728157388997032,0.7340325545995362,1,1.0091548630267269,1,Pb,Co,Nb,O,1.49,0.61,0.64,1.4,2,3,5,-2,1.0
Pb2CoTaO6,3.728157388997032,0.7340325545995362,1,1.0091548630267269,1,Pb,Co,Ta,O,1.49,0.61,0.64,1.4,2,3,5,-2,1.0
Sr2HoRuO6,3.7286084716174495,0.7338626278123194,1,0.9414830091747748,1,Sr,Ho,Ru,O,1.44,0.9009999999999999,0.565,1.4,2,3,5,-2,1.0
Sr2SbYbO6,3.729834541642519,0.7334003707156871,1,0.9410418268836902,1,Sr,Sb,Yb,O,1.44,0.6,0.868,1.4,2,5,3,-2,1.0
Sr2LiReO6,3.7300607541144406,0.7333150217177841,1,0.9819967034571124,1,Sr,Li,Re,O,1.44,0.76,0.53,1.4,2,1,7,-2,1.0
Sr2NiWO6,3.7300607541144406,0.7333150217177841,1,0.9819967034571124,1,Sr,Ni,W,O,1.44,0.69,0.6,1.4,2,2,6,-2,1.0
Sr2CuTeO6,3.7300607541144406,0.7333150217177841,1,0.9819967034571124,1,Sr,Cu,Te,O,1.44,0.73,0.56,1.4,2,2,6,-2,1.0
Sr2ReZnO6,3.7300607541144406,0.7333150217177841,1,0.9819967034571124,1,Sr,Re,Zn,O,1.44,0.55,0.74,1.4,2,6,2,-2,1.0
Sr2IrYO6,3.7310887911882418,0.7329269060886539,1,0.940601057878124,1,Sr,Ir,Y,O,1.44,0.57,0.9,1.4,2,5,3,-2,1.0
Sr2ErReO6,3.7310887911882418,0.7329269060886539,1,0.940601057878124,1,Sr,Er,Re,O,1.44,0.89,0.58,1.4,2,3,5,-2,1.0
Sr2UZnO6,3.7310887911882418,0.7329269060886539,1,0.940601057878124,1,Sr,U,Zn,O,1.44,0.73,0.74,1.4,2,6,2,-2,1.0
Sr2HoIrO6,3.7317264904388328,0.7326859560202447,1,0.9403808281759752,1,Sr,Ho,Ir,O,1.44,0.9009999999999999,0.57,1.4,2,3,5,-2,1.0
Sr2FeTaO6,3.7332818722109273,0.7320976277387518,1,0.983198657806509,1,Sr,Fe,Ta,O,1.44,0.645,0.64,1.4,2,3,5,-2,1.0
Sr2NbTiO6,3.7332818722109273,0.7320976277387518,1,0.983198657806509,1,Sr,Nb,Ti,O,1.44,0.68,0.605,1.4,2,4,4,-2,1.0
Sr2TaTiO6,3.7332818722109273,0.7320976277387518,1,0.983198657806509,1,Sr,Ta,Ti,O,1.44,0.68,0.605,1.4,2,4,4,-2,1.0
Sr2FeNbO6,3.7332818722109273,0.7320976277387518,1,0.983198657806509,1,Sr,Fe,Nb,O,1.44,0.645,0.64,1.4,2,3,5,-2,1.0
Ba2RhRuO6,3.7340542820227283,0.7318051248676376,1,1.0589011996873174,1,Ba,Rh,Ru,O,1.61,0.6,0.62,1.4,2,4,4,-2,-1.0
Sr2CoUO6,3.734347852880695,0.7316938944012464,1,0.9395009396817752,1,Sr,Co,U,O,1.44,0.745,0.73,1.4,2,2,6,-2,1.0
Sr2DyRuO6,3.7357009159915338,0.7311808188253014,1,0.9390616126115476,1,Sr,Dy,Ru,O,1.44,0.912,0.565,1.4,2,3,5,-2,1.0
Sr2MoNiO6,3.736682790346971,0.7308080683521374,1,0.9844035581224484,1,Sr,Mo,Ni,O,1.44,0.59,0.69,1.4,2,6,2,-2,1.0
Sr2MgTeO6,3.736682790346971,0.7308080683521374,1,0.9844035581224484,1,Sr,Mg,Te,O,1.44,0.72,0.56,1.4,2,2,6,-2,1.0
Sr2ReYO6,3.7377835588056882,0.7303897542680519,1,0.9384033918550444,1,Sr,Re,Y,O,1.44,0.58,0.9,1.4,2,5,3,-2,1.0
Sr2SbTmO6,3.7377835588056882,0.7303897542680519,1,0.9384033918550444,1,Sr,Sb,Tm,O,1.44,0.6,0.88,1.4,2,5,3,-2,1.0
Sr2HoReO6,3.738491932239968,0.7301203192571107,1,0.9381841899415068,1,Sr,Ho,Re,O,1.44,0.9009999999999999,0.58,1.4,2,3,5,-2,1.0
Sr2DyIrO6,3.739207390786936,0.7298479995888552,1,0.9379650904109268,1,Sr,Dy,Ir,O,1.44,0.912,0.57,1.4,2,3,5,-2,1.0
Ba2SmWO6,3.7403604530626575,0.7294087169383534,1,0.9213815633642892,1,Ba,Sm,W,O,1.61,1.22,0.6,1.4,2,2,6,-2,1.0
Ba2FeReO6,3.7428694189778495,0.7284511663786745,1,1.0602198811315109,-1,Ba,Fe,Re,O,1.61,0.585,0.63,1.4,2,4,4,-2,1.0
Sr2MgReO6,3.7440263773549374,0.7280088237131784,1,0.9868222400834372,1,Sr,Mg,Re,O,1.44,0.72,0.55,1.4,2,2,6,-2,1.0
Sr2ErSbO6,3.745186537388205,0.7275647582682652,1,0.9362159713612096,1,Sr,Er,Sb,O,1.44,0.89,0.6,1.4,2,3,5,-2,1.0
Sr2RhSbO6,3.7479702903767187,0.7264972088789423,1,0.9880360435767748,1,Sr,Rh,Sb,O,1.44,0.665,0.6,1.4,2,3,5,-2,1.0
Ba2MnNbO6,3.7518572332516897,0.7250018009057969,1,1.0615418510581087,-1,Ba,Mn,Nb,O,1.61,0.53,0.68,1.4,2,4,4,-2,1.0
Ba2MnTaO6,3.7518572332516897,0.7250018009057969,1,1.0615418510581087,-1,Ba,Mn,Ta,O,1.61,0.53,0.68,1.4,2,4,4,-2,1.0
Sr2TaVO6,3.752096492240936,0.7249095696036271,1,0.9892528367338892,1,Sr,Ta,V,O,1.44,0.68,0.58,1.4,2,4,4,-2,1.0
Sr2NbVO6,3.752096492240936,0.7249095696036271,1,0.9892528367338892,1,Sr,Nb,V,O,1.44,0.68,0.58,1.4,2,4,4,-2,1.0
Sr2GaNbO6,3.752096492240936,0.7249095696036271,1,0.9892528367338892,1,Sr,Ga,Nb,O,1.44,0.62,0.64,1.4,2,3,5,-2,1.0
Sr2GaTaO6,3.752096492240936,0.7249095696036271,1,0.9892528367338892,1,Sr,Ga,Ta,O,1.44,0.62,0.64,1.4,2,3,5,-2,1.0
Pb2CrTaO6,3.752158390416306,0.7248857052077129,1,1.0141630757464628,1,Pb,Cr,Ta,O,1.49,0.55,0.68,1.4,2,4,4,-2,1.0
Pb2CrNbO6,3.752158390416306,0.7248857052077129,1,1.0141630757464628,1,Pb,Cr,Nb,O,1.49,0.55,0.68,1.4,2,4,4,-2,1.0
Sr2ErMoO6,3.7533012504283287,0.7244448301225459,1,0.9340387249161836,1,Sr,Er,Mo,O,1.44,0.89,0.61,1.4,2,3,5,-2,1.0
Sr2CdReO6,3.7533012504283287,0.7244448301225459,1,0.9340387249161836,1,Sr,Cd,Re,O,1.44,0.95,0.55,1.4,2,2,6,-2,1.0
Sr2SbYO6,3.7533012504283287,0.7244448301225459,1,0.9340387249161836,1,Sr,Sb,Y,O,1.44,0.6,0.9,1.4,2,5,3,-2,1.0
Sr2LuNbO6,3.754152015046308,0.7241163228810449,1,0.9338215571122042,1,Sr,Lu,Nb,O,1.44,0.861,0.64,1.4,2,3,5,-2,1.0
Sr2LuTaO6,3.754152015046308,0.7241163228810449,1,0.9338215571122042,1,Sr,Lu,Ta,O,1.44,0.861,0.64,1.4,2,3,5,-2,1.0
Sr2HoSbO6,3.754152015046308,0.7241163228810449,1,0.9338215571122042,1,Sr,Ho,Sb,O,1.44,0.9009999999999999,0.6,1.4,2,3,5,-2,1.0
Sr2BiScO6,3.757626720960457,0.7227718659375132,1,0.9329538948059442,1,Sr,Bi,Sc,O,1.44,0.76,0.745,1.4,2,5,3,-2,1.0
Sr2TaYbO6,3.760308100298874,0.7217313404862358,1,0.9323042054641574,1,Sr,Ta,Yb,O,1.44,0.64,0.868,1.4,2,5,3,-2,1.0
Sr2NbYbO6,3.760308100298874,0.7217313404862358,1,0.9323042054641574,1,Sr,Nb,Yb,O,1.44,0.64,0.868,1.4,2,5,3,-2,1.0
Sr2CoTaO6,3.760898559258417,0.7215018556719408,1,0.9916954363307628,1,Sr,Co,Ta,O,1.44,0.61,0.64,1.4,2,3,5,-2,1.0
Sr2MnZrO6,3.760898559258417,0.7215018556719408,1,0.9916954363307628,1,Sr,Mn,Zr,O,1.44,0.53,0.72,1.4,2,4,4,-2,1.0
Sr2CrSbO6,3.760898559258417,0.7215018556719408,1,0.9916954363307628,1,Sr,Cr,Sb,O,1.44,0.49,0.76,1.4,2,5,3,-2,1.0
Sr2CoNbO6,3.760898559258417,0.7215018556719408,1,0.9916954363307628,1,Sr,Co,Nb,O,1.44,0.61,0.64,1.4,2,3,5,-2,1.0
Sr2CdTeO6,3.762131633337078,0.7210222042431095,1,0.9318715817029212,1,Sr,Cd,Te,O,1.44,0.95,0.56,1.4,2,2,6,-2,1.0
Sr2MoYO6,3.762131633337078,0.7210222042431095,1,0.9318715817029212,1,Sr,Mo,Y,O,1.44,0.61,0.9,1.4,2,5,3,-2,1.0
Sr2FeUO6,3.762131633337078,0.7210222042431095,1,0.9318715817029212,1,Sr,Fe,U,O,1.44,0.78,0.73,1.4,2,2,6,-2,1.0
Sr2HoMoO6,3.763054197396884,0.7206629743480448,1,0.9316554203524912,1,Sr,Ho,Mo,O,1.44,0.9009999999999999,0.61,1.4,2,3,5,-2,1.0
Sr2DySbO6,3.763983965914288,0.7203006249002705,1,0.9314393592624282,1,Sr,Dy,Sb,O,1.44,0.912,0.6,1.4,2,3,5,-2,1.0
Sr2EuRuO6,3.763983965914288,0.7203006249002705,1,0.9314393592624282,1,Sr,Eu,Ru,O,1.44,0.9470000000000001,0.565,1.4,2,3,5,-2,1.0
Sr2FeSbO6,3.765575894308782,0.7196794867348238,1,0.9929212650530506,1,Sr,Fe,Sb,O,1.44,0.645,0.6,1.4,2,3,5,-2,1.0
Sr2EuIrO6,3.768741038750681,0.7184417720467231,1,0.9303605552790338,1,Sr,Eu,Ir,O,1.44,0.9470000000000001,0.57,1.4,2,3,5,-2,1.0
Sr2TaTmO6,3.7716820385311753,0.7172884488097491,1,0.92971447156009,1,Sr,Ta,Tm,O,1.44,0.64,0.88,1.4,2,5,3,-2,1.0
Sr2BiSbO6,3.7716820385311753,0.7172884488097491,1,0.92971447156009,1,Sr,Bi,Sb,O,1.44,0.76,0.76,1.4,2,5,3,-2,1.0
Pb2FeReO6,3.7720517033200474,0.7171432618438107,1,1.0179519788937097,1,Pb,Fe,Re,O,1.49,0.585,0.63,1.4,2,4,4,-2,1.0
Rb2AlLiF6,3.773068697211985,0.7167435793867091,1,1.090607171994422,-1,Rb,Al,Li,F,1.72,0.535,0.76,1.33,1,3,1,-1,1.0
Sr2RuSmO6,3.7746882671511486,0.7161063108424578,1,0.9290692845569258,1,Sr,Ru,Sm,O,1.44,0.565,0.958,1.4,2,5,3,-2,1.0
Sr2RuTiO6,3.775487059931887,0.7157916532044143,1,0.9953820364658214,1,Sr,Ru,Ti,O,1.44,0.565,0.67,1.4,2,5,3,-2,1.0
Cs2AlLiF6,3.77799851184933,0.7148008533629717,1,1.1478193515088837,-1,Cs,Al,Li,F,1.88,0.535,0.76,1.33,1,3,1,-1,1.0
Pb2MnTaO6,3.7790487686777854,0.7143858408376257,1,1.0192212457003105,1,Pb,Mn,Ta,O,1.49,0.53,0.68,1.4,2,4,4,-2,1.0
Pb2MnNbO6,3.7790487686777854,0.7143858408376257,1,1.0192212457003105,1,Pb,Mn,Nb,O,1.49,0.53,0.68,1.4,2,4,4,-2,1.0
Sr2IrSmO6,3.7798439732559537,0.7140713495298158,1,0.9279959605220864,1,Sr,Ir,Sm,O,1.44,0.57,0.958,1.4,2,5,3,-2,1.0
Sr2CrNbO6,3.7807225358860235,0.713723627563103,1,0.9966170017716104,1,Sr,Cr,Nb,O,1.44,0.55,0.68,1.4,2,4,4,-2,1.0
Sr2CrTaO6,3.7807225358860235,0.713723627563103,1,0.9966170017716104,1,Sr,Cr,Ta,O,1.44,0.55,0.68,1.4,2,4,4,-2,1.0
Sr2ErNbO6,3.781957241138121,0.7132344820401165,1,0.9275673249745012,1,Sr,Er,Nb,O,1.44,0.89,0.64,1.4,2,3,5,-2,1.0
Sr2ErTaO6,3.781957241138121,0.7132344820401165,1,0.9275673249745012,1,Sr,Er,Ta,O,1.44,0.89,0.64,1.4,2,3,5,-2,1.0
Sr2CrUO6,3.781957241138121,0.7132344820401165,1,0.9275673249745012,1,Sr,Cr,U,O,1.44,0.8,0.73,1.4,2,2,6,-2,1.0
Cs2AgLuCl6,3.7878844616749827,0.7108787464235543,1,0.9267355789658532,1,Cs,Ag,Lu,Cl,1.88,1.15,0.861,1.81,1,1,3,-1,1.0
Cs2AgYbCl6,3.7879014005464113,0.7108719962346322,1,0.9255849672147428,1,Cs,Ag,Yb,Cl,1.88,1.15,0.868,1.81,1,1,3,-1,1.0
Cs2NaPuCl6,3.7879296660550583,0.7108607321210508,1,0.9252567455951628,1,Cs,Na,Pu,Cl,1.88,1.02,1.0,1.81,1,1,3,-1,1.0
Cs2AgTmCl6,3.788227447461536,0.7107420457203975,1,0.9236191230365876,1,Cs,Ag,Tm,Cl,1.88,1.15,0.88,1.81,1,1,3,-1,1.0
Cs2CeNaCl6,3.7882274474615367,0.7107420457203973,1,0.9236191230365876,1,Cs,Ce,Na,Cl,1.88,1.01,1.02,1.81,1,3,1,-1,1.0
Cs2AmNaCl6,3.7883236562755607,0.7107036931435556,1,0.9293763214882852,1,Cs,Am,Na,Cl,1.88,0.975,1.02,1.81,1,3,1,-1,1.0
Cs2AgErCl6,3.7887865769548648,0.7105191089540993,1,0.9219872871301624,1,Cs,Ag,Er,Cl,1.88,1.15,0.89,1.81,1,1,3,-1,1.0
Cs2NaSmCl6,3.789516727847324,0.7102278151327209,1,0.9321986504388567,1,Cs,Na,Sm,Cl,1.88,1.02,0.958,1.81,1,1,3,-1,1.0
Cs2BiNaCl6,3.789607934248868,0.7101914150247898,1,0.9203612072586808,1,Cs,Bi,Na,Cl,1.88,1.03,1.02,1.81,1,3,1,-1,1.0
Cs2AgYCl6,3.789607934248868,0.7101914150247898,1,0.9203612072586808,1,Cs,Ag,Y,Cl,1.88,1.15,0.9,1.81,1,1,3,-1,1.0
Cs2AgHoCl6,3.789704529114202,0.7101528611834245,1,0.9201989146811356,1,Cs,Ag,Ho,Cl,1.88,1.15,0.9009999999999999,1.81,1,1,3,-1,1.0
Cs2EuNaCl6,3.7906865069724573,0.7097607371771972,1,0.9340340155999142,1,Cs,Eu,Na,Cl,1.88,0.9470000000000001,1.02,1.81,1,3,1,-1,1.0
Cs2AgDyCl6,3.790941078315259,0.7096590257831696,1,0.9184174665886518,1,Cs,Ag,Dy,Cl,1.88,1.15,0.912,1.81,1,1,3,-1,1.0
Sr2GaSbO6,3.791757612564505,0.7093326328896016,1,0.9990961485421864,1,Sr,Ga,Sb,O,1.44,0.62,0.6,1.4,2,3,5,-2,1.0
Na2FeLiF6,3.7927228737861824,0.7089464850006015,1,0.9462880417355024,1,Na,Fe,Li,F,1.39,0.645,0.76,1.33,1,3,1,-1,1.0
Sr2TaYO6,3.7929624453336652,0.7088505945602749,1,0.9254300730736382,1,Sr,Ta,Y,O,1.44,0.64,0.9,1.4,2,5,3,-2,1.0
Sr2NbYO6,3.7929624453336652,0.7088505945602749,1,0.9254300730736382,1,Sr,Nb,Y,O,1.44,0.64,0.9,1.4,2,5,3,-2,1.0
Sr2CdMoO6,3.7929624453336652,0.7088505945602749,1,0.9254300730736382,1,Sr,Cd,Mo,O,1.44,0.95,0.59,1.4,2,2,6,-2,1.0
Sr2HoNbO6,3.794103329171586,0.7083936683355491,1,0.9252168894585556,1,Sr,Ho,Nb,O,1.44,0.9009999999999999,0.64,1.4,2,3,5,-2,1.0
Sr2HoTaO6,3.794103329171586,0.7083936683355491,1,0.9252168894585556,1,Sr,Ho,Ta,O,1.44,0.9009999999999999,0.64,1.4,2,3,5,-2,1.0
Na2LiVF6,3.7947171559864814,0.7081476393216052,1,0.9474534210972456,1,Na,Li,V,F,1.39,0.76,0.64,1.33,1,1,3,-1,1.0
Cs2DyNaCl6,3.7964830987319855,0.7074390877506689,1,0.9399221983351442,1,Cs,Dy,Na,Cl,1.88,0.912,1.02,1.81,1,3,1,-1,1.0
Cs2AgEuCl6,3.7970125110794015,0.7072264569346731,1,0.9127948303580059,1,Cs,Ag,Eu,Cl,1.88,1.15,0.9470000000000001,1.81,1,1,3,-1,1.0
Sr2FeReO6,3.7975590401825823,0.7070068479901984,1,1.0003403529612926,1,Sr,Fe,Re,O,1.44,0.585,0.63,1.4,2,4,4,-2,1.0
Sr2FeIrO6,3.7975590401825823,0.7070068479901984,1,1.0003403529612926,1,Sr,Fe,Ir,O,1.44,0.645,0.57,1.4,2,3,5,-2,1.0
Cs2HoNaCl6,3.79895629859257,0.7064449176817559,1,0.941788133036766,1,Cs,Ho,Na,Cl,1.88,0.9009999999999999,1.02,1.81,1,3,1,-1,1.0
Cs2NaYCl6,3.7991965836631234,0.7063482140358825,1,0.9419581308947148,1,Cs,Na,Y,Cl,1.88,1.02,0.9,1.81,1,1,3,-1,1.0
Cs2AgSmCl6,3.799598529034257,0.7061864043037457,1,0.9110419073248464,1,Cs,Ag,Sm,Cl,1.88,1.15,0.958,1.81,1,1,3,-1,1.0
Sr2EuSbO6,3.8011034418130096,0.7055800739613978,1,0.9239398475131332,1,Sr,Eu,Sb,O,1.44,0.9470000000000001,0.6,1.4,2,3,5,-2,1.0
Cs2ErNaCl6,3.8017410978254773,0.7053229227629029,1,0.9436614909867486,1,Cs,Er,Na,Cl,1.88,0.89,1.02,1.81,1,3,1,-1,1.0
Cs2NaTlCl6,3.8031099801207686,0.7047704056132633,1,0.9445154832862841,1,Cs,Na,Tl,Cl,1.88,1.02,0.885,1.81,1,1,3,-1,1.0
Sr2MnNbO6,3.8035509969496335,0.7045922601593899,1,1.001587660134561,1,Sr,Mn,Nb,O,1.44,0.53,0.68,1.4,2,4,4,-2,1.0
Sr2MnTaO6,3.8035509969496335,0.7045922601593899,1,1.001587660134561,1,Sr,Mn,Ta,O,1.44,0.53,0.68,1.4,2,4,4,-2,1.0
Sr2FeRuO6,3.8035509969496335,0.7045922601593899,1,1.001587660134561,1,Sr,Fe,Ru,O,1.44,0.645,0.565,1.4,2,3,5,-2,1.0
Sr2CoSbO6,3.8035509969496335,0.7045922601593899,1,1.001587660134561,1,Sr,Co,Sb,O,1.44,0.61,0.6,1.4,2,3,5,-2,1.0
Na2GaLiF6,3.803873239505232,0.7044620497765376,1,0.9521437845680242,1,Na,Ga,Li,F,1.39,0.62,0.76,1.33,1,3,1,-1,1.0
Cs2NaTmCl6,3.8045433171572864,0.7041911717541735,1,0.9453710226733192,1,Cs,Na,Tm,Cl,1.88,1.02,0.88,1.81,1,1,3,-1,1.0
Sr2CdWO6,3.8047032913279937,0.7041264792626839,1,0.9233026476182964,1,Sr,Cd,W,O,1.44,0.95,0.6,1.4,2,2,6,-2,1.0
Sr2INaO6,3.8047032913279937,0.7041264792626839,1,0.9233026476182964,1,Sr,I,Na,O,1.44,0.53,1.02,1.4,2,7,1,-2,1.0
Sr2NaReO6,3.8047032913279937,0.7041264792626839,1,0.9233026476182964,1,Sr,Na,Re,O,1.44,1.02,0.53,1.4,2,1,7,-2,1.0
Sr2CaReO6,3.8047032913279937,0.7041264792626839,1,0.9233026476182964,1,Sr,Ca,Re,O,1.44,1.0,0.55,1.4,2,2,6,-2,1.0
Cs2AgScCl6,3.806041144100024,0.7035851116127043,1,0.9462281133557062,1,Cs,Ag,Sc,Cl,1.88,1.15,0.745,1.81,1,1,3,-1,1.0
Na2CrLiF6,3.8064577173053102,0.7034164164080918,1,0.9533236405588148,1,Na,Cr,Li,F,1.39,0.615,0.76,1.33,1,3,1,-1,1.0
Sr2DyNbO6,3.8071402650252337,0.7031398819787483,1,0.9228783357397952,1,Sr,Dy,Nb,O,1.44,0.912,0.64,1.4,2,3,5,-2,1.0
Sr2DyTaO6,3.8071402650252337,0.7031398819787483,1,0.9228783357397952,1,Sr,Dy,Ta,O,1.44,0.912,0.64,1.4,2,3,5,-2,1.0
Cs2NaYbCl6,3.8082465230756384,0.7026913376311438,1,0.9474306545309952,1,Cs,Na,Yb,Cl,1.88,1.02,0.868,1.81,1,1,3,-1,1.0
Ba2BeUO6,3.809485555201332,0.7021884547952694,1,1.069543422799753,-1,Ba,Be,U,O,1.61,0.45,0.73,1.4,2,2,6,-2,1.0
Ba2CoIrO6,3.809485555201332,0.7021884547952694,1,1.069543422799753,-1,Ba,Co,Ir,O,1.61,0.61,0.57,1.4,2,3,5,-2,-1.0
Cs2LuNaCl6,3.8105785115291435,0.7017444181708061,1,0.9486362561637376,1,Cs,Lu,Na,Cl,1.88,0.861,1.02,1.81,1,3,1,-1,1.0
Sr2SbSmO6,3.814629703480561,0.7000949386589966,1,0.9216077368379052,1,Sr,Sb,Sm,O,1.44,0.6,0.958,1.4,2,5,3,-2,1.0
Sr2GaReO6,3.8161104962369192,0.6994906108192415,1,1.0040916292848974,1,Sr,Ga,Re,O,1.44,0.62,0.58,1.4,2,3,5,-2,1.0
Cs2AgCeCl6,3.8162958098403865,0.6994149293058697,1,0.9028456825530656,1,Cs,Ag,Ce,Cl,1.88,1.15,1.01,1.81,1,1,3,-1,1.0
Sr2MnUO6,3.81718586301883,0.6990512702162935,1,0.9211849809953188,1,Sr,Mn,U,O,1.44,0.83,0.73,1.4,2,2,6,-2,1.0
Sr2CaTeO6,3.81718586301883,0.6990512702162935,1,0.9211849809953188,1,Sr,Ca,Te,O,1.44,1.0,0.56,1.4,2,2,6,-2,1.0
Sr2BiInO6,3.81718586301883,0.6990512702162935,1,0.9211849809953188,1,Sr,Bi,In,O,1.44,0.76,0.8,1.4,2,5,3,-2,1.0
Sr2InUO6,3.81718586301883,0.6990512702162935,1,0.9211849809953188,1,Sr,In,U,O,1.44,0.8,0.76,1.4,2,3,5,-2,1.0
Ba2AlTaO6,3.819720350044298,0.6980142409053927,1,1.070888760438495,-1,Ba,Al,Ta,O,1.61,0.535,0.64,1.4,2,3,5,-2,1.0
Ba2AlNbO6,3.819720350044298,0.6980142409053927,1,1.070888760438495,-1,Ba,Al,Nb,O,1.61,0.535,0.64,1.4,2,3,5,-2,1.0
Sr2ReYbO6,3.8304166963315534,0.6936135923757641,1,0.9190770062104324,1,Sr,Re,Yb,O,1.44,0.55,1.02,1.4,2,6,2,-2,1.0
Pb2AlNbO6,3.833268671953488,0.6924337292328927,1,1.0281955208196842,1,Pb,Al,Nb,O,1.49,0.535,0.64,1.4,2,3,5,-2,1.0
Cs2InNaCl6,3.83628774985178,0.69118177283602,1,0.9592735377126324,1,Cs,In,Na,Cl,1.88,0.8,1.02,1.81,1,3,1,-1,1.0
Sr2CeRuO6,3.837314879386164,0.6907551488159617,1,0.9180266324890493,1,Sr,Ce,Ru,O,1.44,1.01,0.565,1.4,2,3,5,-2,-1.0
Sr2CoIrO6,3.8435616407153166,0.688152995758838,1,1.0091373158642187,1,Sr,Co,Ir,O,1.44,0.61,0.57,1.4,2,3,5,-2,1.0
Sr2ReTmO6,3.844402788268491,0.6878016240179599,1,0.9169786568811849,1,Sr,Re,Tm,O,1.44,0.55,1.03,1.4,2,6,2,-2,1.0
Sr2CeHfO6,3.844402788268491,0.6878016240179599,1,0.9169786568811849,1,Sr,Ce,Hf,O,1.44,0.87,0.71,1.4,2,4,4,-2,1.0
Sr2CeIrO6,3.844402788268491,0.6878016240179599,1,0.9169786568811849,1,Sr,Ce,Ir,O,1.44,1.01,0.57,1.4,2,3,5,-2,1.0
Sr2AlTaO6,3.8509168869280255,0.6850726566010912,1,1.0104066709785129,1,Sr,Al,Ta,O,1.44,0.535,0.64,1.4,2,3,5,-2,1.0
Sr2AlNbO6,3.8509168869280255,0.6850726566010912,1,1.0104066709785129,1,Sr,Al,Nb,O,1.44,0.535,0.64,1.4,2,3,5,-2,1.0
Sr2CoRuO6,3.8509168869280255,0.6850726566010912,1,1.0104066709785129,1,Sr,Co,Ru,O,1.44,0.61,0.565,1.4,2,3,5,-2,1.0
Ba2CoReO6,3.8515348101231655,0.6848130707652439,1,1.0749451572583373,-1,Ba,Co,Re,O,1.61,0.53,0.63,1.4,2,4,4,-2,1.0
Ca2TeZnO6,3.853013344210262,0.6841914451698887,1,0.9451085758298244,1,Ca,Te,Zn,O,1.34,0.56,0.74,1.4,2,6,2,-2,1.0
Ca2CoTeO6,3.853210868564608,0.6841083456973817,1,0.9439574082587772,1,Ca,Co,Te,O,1.34,0.745,0.56,1.4,2,2,6,-2,1.0
Ca2LiReO6,3.853233056287206,0.6840990104247284,1,0.9474193547438341,1,Ca,Li,Re,O,1.34,0.76,0.53,1.4,2,1,7,-2,1.0
Ca2MgMoO6,3.853613261922957,0.6839390178069422,1,0.9428090415820636,1,Ca,Mg,Mo,O,1.34,0.72,0.59,1.4,2,2,6,-2,1.0
Ca2FeNbO6,3.8536504533882527,0.6839233649263713,1,0.9485789867569842,1,Ca,Fe,Nb,O,1.34,0.645,0.64,1.4,2,3,5,-2,1.0
Ca2FeTaO6,3.8536504533882527,0.6839233649263713,1,0.9485789867569842,1,Ca,Fe,Ta,O,1.34,0.645,0.64,1.4,2,3,5,-2,1.0
Ca2MgTeO6,3.85427304093895,0.6836612683664889,1,0.9497414610054608,1,Ca,Mg,Te,O,1.34,0.72,0.56,1.4,2,2,6,-2,1.0
Sr2EuTaO6,3.854646411326637,0.6835040271083618,1,0.9155155042488236,1,Sr,Eu,Ta,O,1.44,0.9470000000000001,0.64,1.4,2,3,5,-2,1.0
Sr2EuNbO6,3.854646411326637,0.6835040271083618,1,0.9155155042488236,1,Sr,Eu,Nb,O,1.44,0.9470000000000001,0.64,1.4,2,3,5,-2,1.0
Ca2MgWO6,3.8550327026667572,0.6833412970092031,1,0.9405206701219128,1,Ca,Mg,W,O,1.34,0.72,0.6,1.4,2,2,6,-2,1.0
Ca2ReScO6,3.8560498571652437,0.6829125779550093,1,0.9393806450672196,1,Ca,Re,Sc,O,1.34,0.58,0.745,1.4,2,5,3,-2,1.0
Ca2MgReO6,3.856134478676157,0.6828768959493576,1,0.9520749781086684,1,Ca,Mg,Re,O,1.34,0.72,0.55,1.4,2,2,6,-2,1.0
Pb2CdUO6,3.856574887509284,0.6826911533929242,1,0.9122940167987152,1,Pb,Cd,U,O,1.49,0.95,0.73,1.4,2,2,6,-2,1.0
Ca2MoZnO6,3.857272094898332,0.6823969785682371,1,0.9382433803637484,1,Ca,Mo,Zn,O,1.34,0.59,0.74,1.4,2,6,2,-2,1.0
Cs2NaSbCl6,3.8584521169616814,0.6818987329798804,1,0.9663792676216147,1,Cs,Na,Sb,Cl,1.88,1.02,0.76,1.81,1,1,3,-1,1.0
Sr2CrRuO6,3.858471515012799,0.6818905387331723,1,1.0116792234608538,1,Sr,Cr,Ru,O,1.44,0.49,0.68,1.4,2,5,3,-2,1.0
Ca2NbVO6,3.8588190903278927,0.6817436933681748,1,0.95441999037002,1,Ca,Nb,V,O,1.34,0.68,0.58,1.4,2,4,4,-2,1.0
